HUC_8,P_emitted (kg/year),P_emittedManure  (kg/year),P_emittedFertilizer  (kg/year),P_uptake  (kg/year),P_balance  (kg/year),P_TES (dimensionless metric),P Saturation
2070005,9958270.25928038,9752034.9950146,206235.264265779,16330832.2311276,-6372561.97184717,0.639926594270567,Not saturated
2070006,4865618.57976873,4744857.85013317,120760.729635557,5779455.13140552,-913836.551636794,0.187815081814372,Not saturated
2070007,355378.203224693,266950.363378936,88427.8398457571,8552319.10730437,-8196940.90407968,23.0654013940665,Not saturated
2070008,1447780.9650346,722992.566848281,724788.398186315,4657526.71810069,-3209745.75306609,2.21701060490831,Not saturated
2070009,2217163.13415579,1664313.12052022,552850.013635568,1247218.7058165,969944.428339292,-0.437470934545648,Saturated
2070010,637990.895520884,187253.276149098,450737.619371786,949878.544406077,-311887.648885193,0.48885909042723,Not saturated
2070011,733074.356510192,136908.723223541,596165.633286651,2258175.67864711,-1525101.32213692,2.08041832126987,Not saturated
2080102,364230.463614152,16541.9228958603,347688.540718291,10105607.9513292,-9741377.48771501,26.7450926291398,Not saturated
2080103,1742271.38949058,1223333.27910258,518938.110388004,16194072.4292366,-14451801.039746,8.29480477434205,Not saturated
2080104,995593.325445599,69880.4805994758,925712.844846124,13092765.5715648,-12097172.2461192,12.1507164993346,Not saturated
2080105,551558.202050206,96261.1451614747,455297.056888731,4755870.51324776,-4204312.31119756,7.62260863054822,Not saturated
2080106,1255381.14061891,508556.297836719,746824.842782192,1203955.14784364,51425.9927752733,-0.040964445865357,Saturated
2080107,59744.9469331093,6401.15715406271,53343.7897790466,1903476.37031779,-1843731.42338468,30.8600395184705,Not saturated
2080108,2304.23903939722,225.636772268285,2078.60226712893,3579205.40427322,-3576901.16523382,1552.31341196681,Not saturated
2080109,3193332.90867208,2494688.59594911,698644.31272297,3432539.73982699,-239206.831154916,0.074908203433882,Not saturated
2080110,1433757.73131519,1310839.7100849,122918.021230291,6806589.70858004,-5372831.97726485,3.74737785883557,Not saturated
2080111,2052467.25830701,1769146.1227803,283321.135526708,23188881.9093907,-21136414.6510837,10.2980520471339,Not saturated
2080201,725490.792197664,603956.070079832,121534.722117832,18455200.8782015,-17729710.0860038,24.438228957113,Not saturated
2080202,843249.538547076,661916.920248948,181332.618298128,1421156.19313666,-577906.654589583,0.685332903455032,Not saturated
2080203,1012984.08028565,867286.816853656,145697.26343199,1101660.77840184,-88676.6981161941,0.087540070808604,Not saturated
2080204,381367.709548076,315492.883625472,65874.8259226042,13024335.6883892,-12642967.9788411,33.1516477727575,Not saturated
2080205,536630.030219512,434353.809591911,102276.220627601,8268916.02538188,-7732285.99516236,14.4089699788128,Not saturated
2080206,654639.768734451,293474.323722354,361165.445012097,12436949.8257681,-11782310.0570337,17.9981581012275,Not saturated
2080207,1525981.43253903,1101249.10569459,424732.326844432,11983014.8061921,-10457033.3736531,6.8526609503066,Not saturated
2080208,307642.704553629,134651.207991317,172991.496562312,25791860.091214,-25484217.3866604,82.8370606858254,Not saturated
3010101,1749488.8241989,900427.63362105,849061.19057785,1997350.31747152,-247861.493272618,0.141676522790087,Not saturated
3010102,1251417.33370341,764277.743306779,487139.590396628,8301253.93514269,-7049836.60143928,5.6334816624093,Not saturated
3010103,1380653.24183266,562178.945923371,818474.295909289,39640.5106130397,1341012.73121962,-0.971288583250331,Saturated
3010104,862926.748448308,430377.651890159,432549.096558149,77917.4306646416,785009.317783667,-0.909705625877572,Saturated
3010105,452305.531700267,213050.959633047,239254.57206722,1783811.73937776,-1331506.2076775,2.94382030366115,Not saturated
3010106,545878.272460091,336635.322162283,209242.950297807,10965514.1920801,-10419635.91962,19.0878377933274,Not saturated
3010107,2085517.58632211,750510.357489252,1335007.22883286,0,2085517.58632211,-1,Saturated
3010201,1256518.18505125,422101.635123239,834416.549928012,4964341.27484326,-3707823.08979201,2.95087101317263,Not saturated
3010202,1099484.47081761,505296.55347914,594187.917338474,120252.72868374,979231.742133874,-0.890628078999318,Saturated
3010203,1927233.94177882,662163.12505371,1265070.81672511,1390611.81147382,536622.130305006,-0.278441614519153,Saturated
3010204,1773493.73145799,866997.342106988,906496.389351004,164271.779402782,1609221.95205521,-0.907373915966574,Saturated
